model,prompt_family,init_type,condition_type,fact_type,round,hazard,survival_rate
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,1,0.06250000937499989,0.9375
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,2,0.06666667662222214,0.875
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,3,0.1428571526530612,0.75
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,4,0.0833333455555555,0.6875
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,5,0.3636363728925619,0.4375
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,6,2.2857142290000354e-08,0.4375
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,1,0.25000000749999984,0.75
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,2,1.3333333215292953e-08,0.75
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,3,0.3333333422222221,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,4,-0.4999999700000004,0.75
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,5,0.3333333422222221,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,6,1.9999999656405976e-08,0.5
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,0,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,1,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,2,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,3,9.999999828202988e-09,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,4,9.999999828202988e-09,1.0
