model,prompt_family,init_type,condition_type,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,general_task_aware,DETAIL_HEAVY,needed,5,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.5,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,5,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.9285714285714286
minimax,general_task_aware,DETAIL_HEAVY,needed,5,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.5,0.5,0.3,0.7
minimax,general_task_aware,DETAIL_HEAVY,needed,5,COMPLETED_SUBTASK,TASK_STATE,3,0.6666666666666666,0.6666666666666666,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,5,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,5,EXACT_IDENTIFIER,EXECUTABLE,12,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.9166666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,5,NARRATIVE_PROGRESS,NARRATIVE,2,0.5,0.7,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,5,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.5625,0.5625,0.3125,0.8125
minimax,general_task_aware,DETAIL_HEAVY,needed,5,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.8333333333333334,0.8333333333333334,0.5,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,5,RUNTIME_VARIABLE,EXECUTABLE,16,0.4375,0.48750000000000004,0.1875,0.6875
minimax,general_task_aware,DETAIL_HEAVY,needed,6,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.5,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,6,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.8571428571428571
minimax,general_task_aware,DETAIL_HEAVY,needed,6,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.45,0.47000000000000003,0.25,0.65
minimax,general_task_aware,DETAIL_HEAVY,needed,6,COMPLETED_SUBTASK,TASK_STATE,3,0.6666666666666666,0.6666666666666666,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,6,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,6,EXACT_IDENTIFIER,EXECUTABLE,12,0.5833333333333334,0.5833333333333334,0.25,0.8333333333333334
minimax,general_task_aware,DETAIL_HEAVY,needed,6,NARRATIVE_PROGRESS,NARRATIVE,2,1.0,0.875,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,6,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,0.5625,0.5625,0.3125,0.8125
minimax,general_task_aware,DETAIL_HEAVY,needed,6,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.8333333333333334,0.8333333333333334,0.5,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,6,RUNTIME_VARIABLE,EXECUTABLE,16,0.4375,0.4625,0.1875,0.6875
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,ACTION_OUTCOME,EXECUTABLE,4,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,EXACT_IDENTIFIER,EXECUTABLE,12,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,NARRATIVE_PROGRESS,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,0,RUNTIME_VARIABLE,EXECUTABLE,16,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,ACTION_OUTCOME,EXECUTABLE,4,0.75,0.85,0.25,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.95,0.95,0.85,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,EXACT_IDENTIFIER,EXECUTABLE,12,0.9166666666666666,0.9166666666666666,0.75,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,NARRATIVE_PROGRESS,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,1,RUNTIME_VARIABLE,EXECUTABLE,16,1.0,0.984375,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,ACTION_OUTCOME,EXECUTABLE,4,0.75,0.85,0.25,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.9,0.9,0.75,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,EXACT_IDENTIFIER,EXECUTABLE,12,0.9166666666666666,0.9166666666666666,0.75,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,NARRATIVE_PROGRESS,NARRATIVE,2,0.5,0.5,0.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,16,1.0,1.0,1.0,1.0
minimax,general_task_aware,FACT_TABLE_ONLY,needed,2,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
