candidate_id,case_id,model,generation_type,converged_binary,convergence_round,text_similarity_last,length_change_last,token_jaccard_last
4ec8de5_3__minimax__sample_01,4ec8de5_3,minimax,sample,True,2,1.0,0.0,1.0
4ec8de5_1__minimax__sample_05,4ec8de5_1,minimax,sample,False,-1,0.7845303867403315,0.07836198179979778,0.7093023255813954
4ec8de5_3__minimax__sample_00,4ec8de5_3,minimax,sample,True,2,0.9956458635703919,0.008746355685131196,0.9710144927536232
4ec8de5_1__minimax__sample_07,4ec8de5_1,minimax,sample,True,1,0.999796126401631,0.00040766408479412964,1.0
4ec8de5_3__minimax__sample_04,4ec8de5_3,minimax,sample,True,1,0.9897909577053962,0.01447876447876448,0.9746835443037974
4ec8de5_3__minimax__sample_03,4ec8de5_3,minimax,sample,True,1,0.9863085834649815,0.01981230448383733,0.967741935483871
4ec8de5_1__minimax__sample_06,4ec8de5_1,minimax,sample,True,2,1.0,0.0,1.0
4ec8de5_3__minimax__sample_02,4ec8de5_3,minimax,sample,True,2,0.9956859361518551,0.0051635111876075735,0.9861751152073732
4ec8de5_3__minimax__sample_06,4ec8de5_3,minimax,sample,True,2,0.9556911647651897,0.013354700854700854,0.875
4ec8de5_3__minimax__sample_05,4ec8de5_3,minimax,sample,True,2,1.0,0.0,1.0
4ec8de5_3__minimax__sample_07,4ec8de5_3,minimax,sample,True,1,0.9997403271877434,0.0005192107995846313,1.0
4fab96f_1__minimax__sample_00,4fab96f_1,minimax,sample,False,-1,0.6792883211678832,0.11277108433734939,0.5023255813953489
4fab96f_1__minimax__greedy,4fab96f_1,minimax,greedy,False,-1,0.9443359375,0.053231939163498096,0.8345864661654135
4fab96f_1__minimax__sample_03,4fab96f_1,minimax,sample,True,2,0.9992281965526113,0.001544799176107106,1.0
4fab96f_1__minimax__sample_02,4fab96f_1,minimax,sample,True,2,0.9657057654075547,0.019066733567486203,0.9125
4fab96f_1__minimax__sample_04,4fab96f_1,minimax,sample,True,2,1.0,0.0,1.0
4fab96f_1__minimax__sample_01,4fab96f_1,minimax,sample,True,2,0.9993585631815266,0.0012836970474967907,1.0
4fab96f_1__minimax__sample_05,4fab96f_1,minimax,sample,False,-1,0.9213583556747096,0.02717391304347826,0.7853403141361257
4fab96f_1__minimax__sample_06,4fab96f_1,minimax,sample,True,2,1.0,0.0,1.0
4fab96f_1__minimax__sample_07,4fab96f_1,minimax,sample,False,-1,0.979278230500582,0.0289123451124369,0.9695121951219512
