fact_id,case_id,fact_type,passed,needed_condition_mentions_fact,unneeded_condition_mentions_fact,length_match_ok,delta_len_pct,needed_chars,unneeded_chars,elapsed_s,error,reason
6c2c621_2.fact0004,6c2c621_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.058,210,199,17.999655723571777,,
6c2c621_2.fact0012,6c2c621_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.333,135,89,15.407136678695679,,
6c2c621_2.fact0011,6c2c621_2,ACTION_OUTCOME,False,True,False,True,0.35,162,106,15.723787069320679,,
6c2c621_3.fact0015,6c2c621_3,NARRATIVE_GOAL,True,False,False,True,0.25,160,120,16.469298362731934,,
6c2c621_2.fact0009,6c2c621_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.236,222,168,17.773643016815186,,
6c2c621_3.fact0004,6c2c621_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.333,180,120,15.080140829086304,,
6c2c621_3.fact0010,6c2c621_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.097,248,227,16.751887559890747,,
6c2c621_3.fact0006,6c2c621_3,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.121,117,134,14.876229286193848,,
6c2c621_3.fact0002,6c2c621_3,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.238,255,192,16.376750469207764,,
6c2c621_3.fact0008,6c2c621_3,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.34,202,134,16.255975246429443,,
6c2c621_3.fact0014,6c2c621_3,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.278,289,210,17.31833267211914,,
b119b1f_1.fact0009,b119b1f_1,NARRATIVE_PROGRESS,True,False,False,True,0.083,133,146,16.801436185836792,,
b119b1f_1.fact0001,b119b1f_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.194,100,127,14.67939805984497,,
b119b1f_1.fact0007,b119b1f_1,COMPLETED_SUBTASK,False,False,False,False,0.0,0,0,17.671326398849487,,empty_condition_task
b119b1f_1.fact0010,b119b1f_1,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.361,145,94,15.371229410171509,,
b119b1f_1.fact0002,b119b1f_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.1,83,75,13.488866806030273,,
b119b1f_1.fact0005,b119b1f_1,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.595,170,71,15.870607852935791,,
b119b1f_1.fact0008,b119b1f_1,ACTION_OUTCOME,False,True,False,True,0.093,199,217,16.558910131454468,,
b119b1f_1.fact0004,b119b1f_1,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.711,182,53,16.537142515182495,,
b119b1f_2.fact0008,b119b1f_2,ENVIRONMENT_STATE,False,False,False,False,0.59,157,65,16.33593440055847,,
b119b1f_1.fact0012,b119b1f_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.2,203,163,18.23232388496399,,
b119b1f_2.fact0009,b119b1f_2,ENVIRONMENT_STATE,False,False,False,False,0.714,112,35,17.922341108322144,,
b119b1f_2.fact0003,b119b1f_2,EXACT_IDENTIFIER,False,True,False,True,0.053,78,73,16.29653787612915,,
b119b1f_2.fact0005,b119b1f_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.115,94,104,17.322279930114746,,
b119b1f_2.fact0010,b119b1f_2,COMPLETED_SUBTASK,False,False,False,False,0.0,0,0,22.157105922698975,,empty_condition_task
b119b1f_2.fact0006,b119b1f_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.344,84,128,17.23122477531433,,
b119b1f_2.fact0012,b119b1f_2,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.0,0,0,21.661553382873535,,empty_condition_task
b119b1f_2.fact0001,b119b1f_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.231,106,80,15.109675884246826,,
b119b1f_2.fact0004,b119b1f_2,EXACT_IDENTIFIER,True,False,False,True,0.241,118,91,15.457567930221558,,
b119b1f_2.fact0013,b119b1f_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.484,126,67,16.253566026687622,,
d4e9306_1.fact0011,d4e9306_1,NARRATIVE_PROGRESS,True,False,False,True,0.121,133,117,16.05456018447876,,
d4e9306_1.fact0004,d4e9306_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.138,100,118,17.862707138061523,,
d4e9306_1.fact0006,d4e9306_1,AUTH_OR_ACCESS_TOKEN,False,False,False,False,0.435,93,52,15.738278150558472,,
d4e9306_1.fact0000,d4e9306_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.135,209,181,16.67990231513977,,
d4e9306_1.fact0005,d4e9306_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.048,84,82,21.0816810131073,,
d4e9306_1.fact0010,d4e9306_1,ACTION_OUTCOME,True,False,False,True,0.226,125,99,17.744150161743164,,
